openalex,cites,year,title,authors,venue,doi,arxiv,type,cited_by,oa_url,abstract
W2022552796,OY02,2003,Nonstrictly Convex Minimization over the Bounded Fixed Point Set of a Nonexpansive Mapping,Nobuhiko Ogura; Isao Yamada,Numerical Functional Analysis and Optimization,10.1081/nfa-120020250,,article,29,,"In this paper, we consider, in a finite dimensional real Hilbert space , the variational inequality problem VIP: find , where is nonexpansive mapping with bounded and is paramonotone and Lipschitzian over . The nonstrictly convex minimization over the bounded fixed point set of a nonexpansive mapping is a typical example of such a variational inequality problem. We show that the hybrid steepest descent method, of which convergence properties were examined in some cases for example (Yamada, I. (2000 Yamada, I. 2000. Convex projection algorithm from POCS to Hybrid steepest descent method. The Journal of the IEICE, 83: 616–623. (in Japanese) [Google Scholar]). Convex projection algorithm from POCS to Hybrid steepest descent method. The Journal of the IEICE (in Japanese) 83:616–623; Yamada, I. (2001 Yamada, I. 2001. “The hybrid steepest descent method for the variational inequality problem over the intersection of fixed point sets of nonexpansive mappings”. In Inherently Parallel Algorithm for Feasibility and Optimization Edited by: Butnariu, D., Censor, Y. and Reich, S. Elsevier. [Crossref] , [Google Scholar]). The hybrid steepest descent method for the variational inequality problem over the intersection of fixed point sets of nonexpansive mappings. In: Butnariu, D., Censor, Y., Reich, S., eds. Inherently Parallel Algorithm for Feasibility and Optimization. Elsevier; Ogura, N., Yamada, I. (2002 Ogura, N. and Yamada, I. 2002. Non-strictly convex minimization over the fixed point set of an asymptotically shrinking nonexpansive mapping. Numer. Funct. Anal. Optim., 23: 113–137. [Taylor & Francis Online], [Web of Science ®] , [Google Scholar]). Non-strictly convex minimization over the fixed point set of an asymptotically shrinking nonexpansive mapping. Numer. Funct. Anal. Optim. 23:113–137), is still applicable to the case where and T satisfy the above conditions."
W1972922100,OY02,2003,Computation of symmetric positive definite Toeplitz matrices by the hybrid steepest descent method,Konstantinos Slavakis; Isao Yamada; Kohichi Sakaniwa,Signal Processing,10.1016/s0165-1684(03)00002-1,,article,19,,
W2138146018,OY02,2005,Hybrid Steepest Descent Method for Variational Inequality Problem over the Fixed Point Set of Certain Quasi-nonexpansive Mappings,Isao Yamada; Nobuhiko Ogura,Numerical Functional Analysis and Optimization,10.1081/nfa-200045815,,article,274,,"The hybrid steepest descent method is an algorithmic solution to the variational inequality problem over the fixed point set of nonlinear mapping and applicable to broad range of convexly constrained nonlinear inverse problems in real Hilbert space. In this paper, we show that the strong convergence theorem [Yamada, I. (2001). The hybrid steepest descent method for the variational inequality problem over the intersection of fixed point sets of nonexpansive mappings. In: Butnariu, D., Censor, Y., Reich, S., eds. Inherently Parallel Algorithm for Feasibility and Optimization and Their Applications. Elsevier, pp. 473–504] of the method for nonexpansive mapping can be extended to a strong convergence theorem of the method for the variational inequality problem over the fixed point set of certain quasi-nonexpansive mappings called quasi-shrinking mapping. We also present a convergence theorem of the method for paramonotone variational inequality problem over the bounded fixed point set of quasi-shrinking mapping. By these generalizations, we can approximate successively to the solution of the convex optimization problem over the fixed point set of wide range of subgradient projection operators in real Hilbert space."
W2005778669,OY02,2005,Adaptive Projected Subgradient Method for Asymptotic Minimization of Sequence of Nonnegative Convex Functions,Isao Yamada; Nobuhiko Ogura,Numerical Functional Analysis and Optimization,10.1081/nfa-200045806,,article,189,,"This paper presents an algorithm, named adaptive projected subgradient method that can minimize asymptotically a certain sequence of nonnegative convex functions over a closed convex set in a real Hilbert space. The proposed algorithm is a natural extension of the Polyak's subgradient algorithm, for nonsmooth convex optimization problem with a fixed target value, to the case where the convex objective itself keeps changing in the whole process. The main theorem, showing the strong convergence of the algorithm as well as the asymptotic optimality of the sequence generated by the algorithm, can serve as a unified guiding principle of a wide range of set theoretic adaptive filtering schemes for nonstationary random processes. These include not only the existing adaptive filtering techniques; e.g., NLMS, Projected NLMS, Constrained NLMS, APA, and Adaptive parallel outer projection algorithm etc., but also new techniques; e.g., Adaptive parallel min-max projection algorithm, and their embedded constraint versions. Numerical examples show that the proposed techniques are well-suited for robust adaptive signal processing problems."
W2068400585,OY02,2006,The Adaptive Projected Subgradient Method over the Fixed Point Set of Strongly Attracting Nonexpansive Mappings,Konstantinos Slavakis; Isao Yamada; Nobuhiko Ogura,Numerical Functional Analysis and Optimization,10.1080/01630560600884661,,article,78,,"This paper presents an algorithmic solution, the adaptive projected subgradient method, to the problem of asymptotically minimizing a certain sequence of non-negative continuous convex functions over the fixed point set of a strongly attracting nonexpansive mapping in a real Hilbert space. The method generalizes Polyak's subgradient algorithm for the convexly constrained minimization of a fixed nonsmooth function. By generating a strongly convergent and asymptotically optimal point sequence, the proposed method not only offers unifying principles for many projection-based adaptive filtering algorithms but also enhances the adaptive filtering methods with the set theoretic estimation's armory by allowing a variety of a priori information on the estimandum in the form, for example, of multiple intersecting closed convex sets."
W52475494,OY02,2009,Convergence Rate Analysis,Jiu Ding; Aihui Zhou,Tsinghua University texts,10.1007/978-3-540-85367-1_7,,book-chapter,4,,
W2052389946,OY02,2010,Multi-Domain Adaptive Learning Based on Feasibility Splitting and Adaptive Projected Subgradient Method,Masahiro Yukawa; Konstantinos Slavakis; Isao Yamada,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.e93.a.456,,article,21,,"We propose the multi-domain adaptive learningthat enables us to find a point meeting possibly time-varying specifications simultaneously in multiple domains, e.g. space, time, frequency, etc. The novel concept is based on the idea of feasibility splitting — dealing with feasibility in each individual domain. We show that the adaptive projected subgradient method(Yamada, 2003) realizes the multi-domain adaptive learning by employing (i) a projected gradient operator with respect to a ‘fixed’ proximity function reflecting the time-invariant specifications and (ii) a subgradient projection with respect to ‘time-varying’ objective functions reflecting the time-varying specifications. The resulting algorithm is suitable for real-time implementation, because it requires no more than metric projections onto closed convex sets each of which accommodates the specification in each domain. A convergence analysis and numerical examples are presented."
W2246091536,OY02,2011,Minimizing the Moreau Envelope of Nonsmooth Convex Functions over the Fixed Point Set of Certain Quasi-Nonexpansive Mappings,Isao Yamada; Masahiro Yukawa; Masao Yamagishi,Springer optimization and its applications,10.1007/978-1-4419-9569-8_17,,book-chapter,97,,
W2507430562,OY02,2011,"Signal Processing, Optimization, Inverse Problems",Isao Yamada,IEICE ESS FUNDAMENTALS REVIEW,10.1587/essfr.5.68,,article,1,https://www.jstage.jst.go.jp/article/essfr/5/1/5_1_68/_pdf,"信号処理工学は「生のデータから価値のある情報を引き出すための知や芸や技を創造・体系化するための総合科学」として成長し続け, 音声・音響・画像処理工学や情報通信工学などの基盤として重要な役割を担っている. 筆者は信号処理工学の進化が最適化や逆問題の深化と不可分であることを確信し, これらの隣接領域のアイデアを融合し, 応用価値の高い相乗効果を生むことを目標にしてきた. 本稿では, 信号処理工学とその周辺分野の魅力を広く読者に伝えることを目的とし, 筆者自身が関わった幾つかの研究事例を問題の背景や着想に至った経緯とともに易しく紹介している."
W1998991750,OY02,2012,"A Primal–Dual Splitting Method for Convex Optimization Involving Lipschitzian, Proximable and Linear Composite Terms",Laurent Condat,Journal of Optimization Theory and Applications,10.1007/s10957-012-0245-9,,article,934,,
W613392520,OY02,2012,Iterative Methods for Fixed Point Problems in Hilbert Spaces,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4,,book,328,,
W4211048048,OY02,2012,Projection Methods,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_5,,book-chapter,16,,
W1859371809,OY02,2012,Convergence of Iterative Methods,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_3,,book-chapter,2,,
W4211223280,OY02,2012,Algorithmic Operators,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_2,,book-chapter,1,,
W4210974842,OY02,2012,Introduction,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_1,,book-chapter,0,,
W617899420,OY02,2012,Algorithmic Projection Operators,Andrzej Cegielski,Lecture notes in mathematics,10.1007/978-3-642-30901-4_4,,book-chapter,0,,
W1975181084,OY02,2013,Methods for Variational Inequality Problem Over the Intersection of Fixed Point Sets of Quasi-Nonexpansive Operators,Andrzej Cegielski; Rafał Zalas,Numerical Functional Analysis and Optimization,10.1080/01630563.2012.716807,,article,50,,"Many convex optimization problems in a Hilbert space ℋ can be written as the following variational inequality problem VIP (ℱ, C): Find such that for all z ∈ C, where C ⊂ ℋ is closed convex and ℱ: ℋ → ℋ is monotone. We consider a special case of VIP (ℱ, C), where and U i : ℋ → ℋ are quasi-nonexpansive operators having a common fixed point, i ∈ I: = {1, 2,…, m}. A standard method for VIP (ℱ, C) is the projected gradient method u k+1 = P C (u k − μℱu k ) which generates sequences converging to a unique solution of VIP (ℱ, C) if ℱ is strongly monotone and Lipschitz continuous. Unfortunately, the method cannot be applied for , because, in general, P C u cannot be computed explicitly, u ∈ ℋ. Lions in 1977 and Bauschke in 1996 considered a special case of , where ℱ = Id −a, for some a ∈ ℋ, U i are firmly nonexpansive or nonexpansive, respectively, and studied the convergence properties of the following method: u k+1 = U i k u k − λ k ℱU i k u k , where λ k ↓ 0 and is a cyclic control, i.e., i k = k(mod m) +1 for all k ≥ 0 (see [1 H. H. Bauschke ( 1996 ). The approximation of fixed points of composition of nonexpansive mapping in Hilbert space . J. Math. Anal. Appl. 202 : 150 – 159 .[Crossref], [Web of Science ®] , [Google Scholar], 22 P.-L. Lions ( 1977 ). Approximation de points fixes de contractions . C. R. Acad. Sci. Paris Sér. A 284 : 1357 – 1359 . [Google Scholar]]). We apply this method in case ℱ is strongly monotone and Lipschitz continuous, U i are quasi-nonexpansive and is almost-cyclic. We present the method in a more general form where T k : ℋ → ℋ, k ≥ 0, are quasi-nonexpansive, and Fix T k approximate Fix T in some sense. A special case of the method with T k = T for all k ≥ 0 was studied in Yamada and Ogura [32 I. Yamada and N. Ogura ( 2004 ). Hybrid steepest descent method for variational inequality problem over the fixed point set of certain quasi-nonexpansive mappings . Numer. Funct. Anal. Optimiz. 25 : 619 – 655 .[Taylor & Francis Online], [Web of Science "
W1994817423,OY02,2013,Iteration–discretization methods for variational inequalities over fixed point sets,Andrzej Cegielski; Christian Großmann,Nonlinear Analysis,10.1016/j.na.2013.02.012,,article,1,,
W1503460324,OY02,2013,Iteration-Complexity of a Generalized Forward Backward Splitting Algorithm,Jingwei Liang; Jalal Fadili; Gabriel Peyré,arXiv (Cornell University),10.48550/arxiv.1310.6636,1310.6636,preprint,1,https://arxiv.org/pdf/1310.6636,"In this paper, we analyze the iteration-complexity of Generalized Forward--Backward (GFB) splitting algorithm, as proposed in \cite{gfb2011}, for minimizing a large class of composite objectives $f + \sum_{i=1}^n h_i$ on a Hilbert space, where $f$ has a Lipschitz-continuous gradient and the $h_i$'s are simple (\ie their proximity operators are easy to compute). We derive iteration-complexity bounds (pointwise and ergodic) for the inexact version of GFB to obtain an approximate solution based on an easily verifiable termination criterion. Along the way, we prove complexity bounds for relaxed and inexact fixed point iterations built from composition of nonexpansive averaged operators. These results apply more generally to GFB when used to find a zero of a sum of $n > 0$ maximal monotone operators and a co-coercive operator on a Hilbert space. The theoretical findings are exemplified with experiments on video processing."
W2952761893,CY15,2014,Convergence rate analysis of the forward-Douglas-Rachford splitting scheme,Damek Davis,arXiv (Cornell University),10.48550/arxiv.1410.2654,1410.2654,preprint,4,https://arxiv.org/pdf/1410.2654,"Operator splitting schemes are a class of powerful algorithms that solve complicated monotone inclusion and convex optimization problems that are built from many simpler pieces. They give rise to algorithms in which all simple pieces of the decomposition are processed individually. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze the convergence rate of the forward-Douglas-Rachford splitting (FDRS) algorithm, which is a generalization of the forward-backward splitting (FBS) and Douglas-Rachford splitting (DRS) algorithms. Under general convexity assumptions, we derive the ergodic and nonergodic convergence rates of the FDRS algorithm, and show that these rates are the best possible. Under Lipschitz differentiability assumptions, we show that the best iterate of FDRS converges as quickly as the last iterate of the FBS algorithm. Under strong convexity assumptions, we derive convergence rates for a sequence that strongly converges to a minimizer. Under strong convexity and Lipschitz differentiability assumptions, we show that FDRS converges linearly. We also provide examples where the objective is strongly convex, yet FDRS converges arbitrarily slowly. Finally, we relate the FDRS algorithm to a primal-dual forward-backward splitting scheme and clarify its place among existing splitting methods. Our results show that the FDRS algorithm automatically adapts to the regularity of the objective functions and achieves rates that improve upon the sharp worst case rates that hold in the absence of smoothness and strong convexity."
W1998428773,OY02,2014,Compositions and convex combinations of averaged nonexpansive operators,Patrick L. Combettes; Isao Yamada,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2014.11.044,,article,112,https://www.sciencedirect.com/science/article/pii/S0022247X14010865/pdf,
W2009745212,OY02,2014,Hierarchical Convex Optimization With Primal-Dual Splitting,Shunsuke Ono; Isao Yamada,IEEE Transactions on Signal Processing,10.1109/tsp.2014.2373318,,article,26,,"This paper addresses the selection of a desirable solution among all the solutions of a convex optimization problem (referred to as the first-stage problem) mainly for inverse problems in signal processing. This is realized in the framework of hierarchical convex optimization, i.e., minimizing another convex function over the solution set of the first-stage problem. Hierarchical convex optimization is an ideal strategy when the first-stage problem has infinitely many solutions because of the non-strict convexity of its objective function, which could arise in various scenarios, e.g., convex feasibility problems. To this end, first, the fixed point set characterization behind a primal-dual splitting type method is incorporated into the framework of hierarchical convex optimization, which enables the framework to cover a broad class of first-stage problem formulations. Then, a pair of efficient algorithmic solutions to the hierarchical convex optimization problem, as certain realizations of the hybrid steepest descent method, are provided with guaranteed convergence. We also present a specialized form of the proposed framework to focus on a typical scenario of inverse problems, and show its application to signal interpolation."
W2162231089,OY02,2014,Sparsity-Aware Learning and Compressed Sensing: An Overview,Sergios Theodoridis; Yannis Kopsinis; Konstantinos Slavakis,Academic press library in signal processing,10.1016/b978-0-12-396502-8.00023-1,,book-chapter,14,,
W3098197720,OY02,2014,Sparsity-Aware Learning and Compressed Sensing: An Overview,Sergios Theodoridis; Yannis Kopsinis; Konstantinos Slavakis,,,,preprint,32,,"The notion of regularization has been widely used as a tool to address a number of problems that are usually encountered in Machine Learning. Improving the performance of an estimator by shrinking the norm of the MVU estimator, guarding against overfitting, coping with ill-conditioning, provid-"
W2949680534,OY02,2014,Convergence Rates with Inexact Non-expansive Operators,Jingwei Liang; Jalal Fadili; Gabriel Peyré,arXiv (Cornell University),10.48550/arxiv.1404.4837,1404.4837,preprint,3,https://arxiv.org/pdf/1404.4837,"In this paper, we present a convergence rate analysis for the inexact Krasnosel'skii-Mann iteration built from nonexpansive operators. Our results include two main parts: we first establish global pointwise and ergodic iteration-complexity bounds, and then, under a metric subregularity assumption, we establish local linear convergence for the distance of the iterates to the set of fixed points. The obtained iteration-complexity result can be applied to analyze the convergence rate of various monotone operator splitting methods in the literature, including the Forward-Backward, the Generalized Forward-Backward, Douglas-Rachford, alternating direction method of multipliers (ADMM) and Primal-Dual splitting methods. For these methods, we also develop easily verifiable termination criteria for finding an approximate solution, which can be seen as a generalization of the termination criterion for the classical gradient descent method. We finally develop a parallel analysis for the non-stationary Krasnosel'skii-Mann iteration. The usefulness of our results is illustrated by applying them to a large class of structured monotone inclusion and convex optimization problems. Experiments on some large scale inverse problems in signal and image processing problems are shown."
W2951484003,OY02,2014,Convergence rate analysis of primal-dual splitting schemes,Damek Davis,arXiv (Cornell University),10.48550/arxiv.1408.4419,1408.4419,preprint,3,https://arxiv.org/pdf/1408.4419,"Primal-dual splitting schemes are a class of powerful algorithms that solve complicated monotone inclusions and convex optimization problems that are built from many simpler pieces. They decompose problems that are built from sums, linear compositions, and infimal convolutions of simple functions so that each simple term is processed individually via proximal mappings, gradient mappings, and multiplications by the linear maps. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze a monotone inclusion problem that captures a large class of primal-dual splittings as a special case. We introduce a unifying scheme and use some abstract analysis of the algorithm to prove convergence rates of the proximal point algorithm, forward-backward splitting, Peaceman-Rachford splitting, and forward-backward-forward splitting applied to the model problem. Our ergodic convergence rates are deduced under variable metrics, stepsizes, and relaxation. Our nonergodic convergence rates are the first shown in the literature. Finally, we apply our results to a large class of primal-dual algorithms that are a special case of our scheme and deduce their convergence rates."
W2950378366,OY02,2014,Compositions and Convex Combinations of Averaged Nonexpansive Operators,Patrick L. Combettes; Isao Yamada,arXiv (Cornell University),10.48550/arxiv.1407.5100,1407.5100,preprint,1,https://arxiv.org/pdf/1407.5100,Properties of compositions and convex combinations of averaged nonexpansive operators are investigated and applied to the design of new fixed point algorithms in Hilbert spaces. An extended version of the forward-backward splitting algorithm for finding a zero of the sum of two monotone operators is obtained.
W2964103805,OY02,2014,4 ITERATION-COMPLEXITY OF A GENERALIZED FORWARD BACKWARD SPLITTING ALGORITHM,Jingwei Liang; Jalal Fadili; Cnrs-ensicaen Ceremade,,,,conference-paper,0,https://hal.science/hal-01073917,"In this paper, we analyze the iteration-complexity of Generalized Forward-Backward (GFB) splitting algorithm, as proposed in [2], for minimizing a large class of composite objectives on a Hilbert space, where f has a Lipschitz-continuous gradient and the hi's are simple (i.e. their proximity operators are easy to compute). We derive iteration-complexity bounds (pointwise and ergodic) for the inexact version of GFB to obtain an approximate solution based on an easily verifiable termination criterion. Along the way, we prove complexity bounds for relaxed and inexact fixed point iterations built from composition of nonexpansive averaged operators. These results apply more generally to GFB when used to find a zero of a sum of n>0 maximal monotone operators and a co-coercive operator on a Hilbert space. The theoretical findings are exemplified with experiments on video processing."
W1607518970,CY15,2015,Convergence Rate Analysis of the Forward-Douglas-Rachford Splitting Scheme,Damek Davis,SIAM Journal on Optimization,10.1137/140992291,,article,40,,"Operator splitting schemes are a class of powerful algorithms that solve complicated monotone inclusion and convex optimization problems that are built from many simpler pieces. They give rise to algorithms in which all simple pieces of the decomposition are processed individually. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze the convergence rate of the forward-Douglas--Rachford splitting (FDRS) algorithm, which is a generalization of the forward-backward splitting (FBS) and Douglas--Rachford splitting algorithms. Under general convexity assumptions, we derive the ergodic and nonergodic convergence rates of the FDRS algorithm, and show that these rates are the best possible. Under Lipschitz differentiability assumptions, we show that the best iterate of FDRS converges as quickly as the last iterate of the FBS algorithm. Under strong convexity assumptions, we derive convergence rates for a sequence that strongly converges to a minimizer. Under strong convexity and Lipschitz differentiability assumptions, we show that FDRS converges linearly. We also provide examples where the objective is strongly convex, yet FDRS converges arbitrarily slowly. Finally, we relate the FDRS algorithm to a primal-dual FBS scheme and clarify its place among existing splitting methods. Our results show that the FDRS algorithm automatically adapts to the regularity of the objective functions and achieves rates that improve upon the sharp worst case rates that hold in the absence of smoothness and strong convexity."
W960403429,CY15,2015,Stochastic Approximations and Perturbations in Forward-Backward Splitting for Monotone Operators,Patrick L. Combettes; Jean‐Christophe Pesquet,arXiv (Cornell University),10.48550/arxiv.1507.07095,1507.07095,preprint,27,https://arxiv.org/pdf/1507.07095,"We investigate the asymptotic behavior of a stochastic version of the forward-backward splitting algorithm for finding a zero of the sum of a maximally monotone set-valued operator and a cocoercive operator in Hilbert spaces. Our general setting features stochastic approximations of the cocoercive operator and stochastic perturbations in the evaluation of the resolvents of the set-valued operator. In addition, relaxations and not necessarily vanishing proximal parameters are allowed. Weak and strong almost sure convergence properties of the iterates is established under mild conditions on the underlying stochastic processes. Leveraging these results, we also establish the almost sure convergence of the iterates of a stochastic variant of a primal-dual proximal splitting method for composite minimization problems."
W1489128386,OY02,2015,Convergence rates with inexact non-expansive operators,Jingwei Liang; Jalal Fadili; Gabriel Peyré,Mathematical Programming,10.1007/s10107-015-0964-4,,article,90,https://hal.science/hal-01658852,
W1768854696,OY02,2015,Convergence Rate Analysis of Primal-Dual Splitting Schemes,Damek Davis,SIAM Journal on Optimization,10.1137/151003076,,article,64,,"Primal-dual splitting schemes are a class of powerful algorithms that solve complicated monotone inclusions and convex optimization problems that are built from many simpler pieces. They decompose problems that are built from sums, linear compositions, and infimal convolutions of simple functions so that each simple term is processed individually via proximal mappings, gradient mappings, and multiplications by the linear maps. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze a monotone inclusion problem that captures a large class of primal-dual splittings as a special case. We introduce a unifying scheme and use some abstract analysis of the algorithm to prove convergence rates of the proximal point algorithm, forward-backward splitting, Peaceman--Rachford splitting, and forward-backward-forward splitting applied to the model problem. Our ergodic convergence rates are deduced under variable metrics, stepsizes, and relaxation parameters. Our nonergodic convergence rates are the first shown in the literature. Finally, we apply our results to a large class of primal-dual algorithms that are a special case of our scheme and deduce their convergence rates."
W2291990273,OY02,2015,A nonexpansive operator for computationally efficient hierarchical convex optimization,Masao Yamagishi; Isao Yamada,,10.1109/apsipa.2015.7415442,,conference-paper,1,,"Hybrid steepest descent method is an algorithmic solution to certain hierarchical convex optimization which is a class of two-stage optimization problems: the first stage problem is a convex optimization; the second stage problem is the minimization of a differentiable convex function over the solution set of the first stage problem. In the application of this method, the solution set of the first stage problem must be expressed as the fixed point set of a certain nonexpansive operator. In this paper, we propose a nonexpansive operator that yields a computationally efficient update in cases where it is plugged into the hybrid steepest descent method. The proposed operator is applicable to characterize the solution set of recent sophisticated convex optimization problems, where multiple proximable convex functions involving linear operators must be minimized. To the best of our knowledge, for such a problem, there was not reported any nonexpansive operator that yields an update free from the inversions of linear operators in cases where it is utilized in the hybrid steepest descent method. Unlike conventional operators, the proposed operator yields an inversion-free update."
W2310612435,CY15,2016,Line search for averaged operator iteration,Pontus Giselsson; Mattias Fält; Stephen Boyd,,10.1109/cdc.2016.7798401,,conference-paper,30,,"Many popular first order algorithms for convex optimization, such as forward-backward splitting, Douglas-Rachford splitting, and the alternating direction method of multipliers (ADMM), can be formulated as averaged iteration of a nonexpansive mapping. In this paper we propose a line search for averaged iteration that preserves the theoretical convergence guarantee, while often accelerating practical convergence. We discuss several general cases in which the additional computational cost of the line search is modest compared to the savings obtained."
W2963692017,CY15,2016,Stochastic Approximations and Perturbations in Forward-Backward Splitting for Monotone Operators,Patrick L. Combettes; Jean‐Christophe Pesquet,HAL (Le Centre pour la Communication Scientifique Directe),,,article,21,,International audience
W2283482917,CY15,2016,Stochastic forward-backward and primal-dual approximation algorithms with application to online image restoration,Patrick L. Combettes; Jean‐Christophe Pesquet,,10.1109/eusipco.2016.7760561,1602.08021,conference-paper,3,https://arxiv.org/pdf/1602.08021,"Stochastic approximation techniques have been used in various contexts in data science. We propose a stochastic version of the forward-backward algorithm for minimizing the sum of two convex functions, one of which is not necessarily smooth. Our framework can handle stochastic approximations of the gradient of the smooth function and allows for stochastic errors in the evaluation of the proximity operator of the nonsmooth function. The almost sure convergence of the iterates generated by the algorithm to a minimizer is established under relatively mild assumptions. We also propose a stochastic version of a popular primal-dual proximal splitting algorithm, establish its convergence, and apply it to an online image restoration problem."
W2557006226,CY15,2016,Over relaxed hybrid proximal extragradient algorithm and its application to several operator splitting methods,Li Shen,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2016.11.018,,article,2,,
W2569736460,CY15,2016,Global linear convergence in operator splitting methods,Goran Banjac; Paul J. Goulart,,10.1109/cdc.2016.7798275,,conference-paper,2,,"We establish necessary and sufficient conditions for linear convergence of operator splitting methods for a general class of convex optimization problems where the associated fixed-point operator is averaged. Most existing results establishing linear convergence in such methods require restrictive assumptions regarding strong convexity and smoothness of the constituent functions in the optimization problem. However, there are several examples in the literature showing that linear convergence is possible even when these properties do not hold. We provide a unifying analysis method for establishing linear convergence based on linear regularity and show that many existing results are special cases of our approach. Moreover, we propose a novel linearly convergent splitting method for linear programming."
W2226102612,CY15,2016,SMART: The Stochastic Monotone Aggregated Root-Finding Algorithm,Damek Davis,arXiv (Cornell University),10.48550/arxiv.1601.00698,1601.00698,preprint,9,https://arxiv.org/pdf/1601.00698,"We introduce the Stochastic Monotone Aggregated Root-Finding (SMART) algorithm, a new randomized operator-splitting scheme for finding roots of finite sums of operators. These algorithms are similar to the growing class of incremental aggregated gradient algorithms, which minimize finite sums of functions; the difference is that we replace gradients of functions with black-boxes called operators, which represent subproblems to be solved during the algorithm. By replacing gradients with operators, we increase our modeling power, and we simplify the application and analysis of the resulting algorithms. The operator point of view also makes it easy to extend our algorithms to allow arbitrary sampling and updating of blocks of coordinates throughout the algorithm. Implementing and running an algorithm like this on a computing cluster can be slow if we force all computing nodes to be synched up at all times. To take better advantage of parallelism, we allow computing nodes to delay updates and break synchronization. This paper has several technical and practical contributions. We prove the weak, almost sure convergence of a new class of randomized operator-splitting schemes in separable Hilbert spaces; we prove that this class of algorithms convergences linearly in expectation when a weak regularity property holds; we highlight connections to other algorithms; and we introduce a few new algorithms for large-scale optimization."
W2953132663,CY15,2016,Line Search for Averaged Operator Iteration,Pontus Giselsson; Mattias Fält; Stephen Boyd,arXiv (Cornell University),10.48550/arxiv.1603.06772,1603.06772,preprint,4,https://arxiv.org/pdf/1603.06772,"Many popular first order algorithms for convex optimization, such as forward-backward splitting, Douglas-Rachford splitting, and the alternating direction method of multipliers (ADMM), can be formulated as averaged iteration of a nonexpansive mapping. In this paper we propose a line search for averaged iteration that preserves the theoretical convergence guarantee, while often accelerating practical convergence. We discuss several general cases in which the additional computational cost of the line search is modest compared to the savings obtained."
W2950886472,CY15,2016,Line Search For Generalized Alternating Projections,Mattias Fält; Pontus Giselsson,arXiv (Cornell University),10.48550/arxiv.1609.05920,1609.05920,preprint,0,https://arxiv.org/pdf/1609.05920.pdf,"This paper is about line search for the generalized alternating projections (GAP) method. This method is a generalization of the von Neumann alternating projections method, where instead of performing alternating projections, relaxed projections are alternated. The method can be interpreted as an averaged iteration of a nonexpansive mapping. Therefore, a recently proposed line search method for such algorithms is applicable to GAP. We evaluate this line search and show situations when the line search can be performed with little additional cost. We also present a variation of the basic line search for GAP - the projected line search. We prove its convergence and show that the line search condition is convex in the step length parameter. We show that almost all convex optimization problems can be solved using this approach and numerical results show superior performance with both the standard and the projected line search, sometimes by several orders of magnitude, compared to the nominal method."
W2216134724,OY02,2016,Convergence Rate Analysis of Several Splitting Schemes,Damek Davis; Wotao Yin,Scientific computation,10.1007/978-3-319-41589-5_4,,book-chapter,225,,
W1510670399,OY02,2016,Second Order Forward-Backward Dynamical Systems For Monotone Inclusion Problems,Radu Ioan Boţ; Ernö Robert Csetnek,SIAM Journal on Control and Optimization,10.1137/15m1012657,1503.04652,article,4,https://arxiv.org/pdf/1503.04652,"We begin by considering second order dynamical systems of the from $\ddot x(t) + \gamma(t)\dot x(t) + \lambda(t)B(x(t))=0$, where $B: {\cal H}\rightarrow{\cal H}$ is a cocoercive operator defined on a real Hilbert space ${\cal H}$, $\lambda:[0,+\infty)\rightarrow [0,+\infty)$ is a relaxation function, and $\gamma:[0,+\infty)\rightarrow [0,+\infty)$ is a damping function, both depending on time. For the generated trajectories, we show existence and uniqueness of the generated trajectories as well as their weak asymptotic convergence to a zero of the operator $B$. The framework allows us to address from similar perspectives second order dynamical systems associated with the problem of finding zeros of the sum of a maximally monotone operator and a cocoercive one. This captures as a particular case the minimization of the sum of a nonsmooth convex function with a smooth convex one. Furthermore, we prove that when $B$ is the gradient of a smooth convex function the value of the latter converges along the ergodic trajectory to its minimal value with a rate of ${\cal O}(1/t)$."
