key,score,families,title,year,authors,venue,doi,abstract
10.1137/130918137,5,A,Low-Rank Approximate Inverse for Preconditioning Tensor-Structured Linear Systems,2014,Loïc Giraldi; Anthony Nouy; Grégory Legrain,SIAM Journal on Scientific Computing,10.1137/130918137,"In this paper, we propose an algorithm for the construction of low-rank approximations of the inverse of an operator given in low-rank tensor format. The construction relies on an updated greedy algorithm for the minimization of a suitable distance to the inverse operator. It provides a sequence of approximations that are defined as the projections of the inverse operator in an increasing sequence of linear subspaces of operators. These subspaces are obtained by the tensorization of bases of operators that are constructed from successive rank-one corrections. In order to handle high-order tensors, approximate projections are computed in low-rank hierarchical Tucker subsets of the successive subspaces of operators. Some desired properties such as symmetry or sparsity can be imposed on the approximate inverse operator during the correction step, where an optimal rank-one correction is searched as the tensor product of operators with the desired properties. Numerical examples illustrate the ability of this algorithm to provide efficient preconditioners for linear systems in tensor format that improve the convergence of iterative solvers and also the quality of the resulting low-rank a"
10.1103/physrevresearch.5.013031,5,A,Automatic structural optimization of tree tensor networks,2023,Toshiya Hikihara; Hiroshi Ueda; Kouichi Okunishi; Kenji Harada; Tomotoshi Nishino,Physical Review Research,10.1103/physrevresearch.5.013031,"The tree tensor network (TTN) provides an essential theoretical framework for the practical simulation of quantum many-body systems, where the network structure defined by the connectivity of the isometry tensors plays a crucial role in improving its approximation accuracy. In this paper, we propose a TTN algorithm that enables us to automatically optimize the network structure by local reconnections of isometries to suppress the bipartite entanglement entropy on their legs. The algorithm can be seamlessly implemented to such a conventional TTN approach as the density-matrix renormalization group. We apply the algorithm to the inhomogeneous antiferromagnetic Heisenberg spin chain, having a hierarchical spatial distribution of the interactions. We then demonstrate that the entanglement structure embedded in the ground state of the system can be efficiently visualized as a perfect binary tree in the optimized TTN. Possible improvements and applications of the algorithm are also discussed."
10.22331/q-2023-03-30-964,5,A,Simulating quantum circuits using tree tensor networks,2023,Philipp Seitz; Ismael Medina; Esther Cruz; Qunsheng Huang; Christian B. Mendl,Quantum,10.22331/q-2023-03-30-964,"We develop and analyze a method for simulating quantum circuits on classical computers by representing quantum states as rooted tree tensor networks. Our algorithm first determines a suitable, fixed tree structure adapted to the expected entanglement generated by the quantum circuit. The gates are sequentially applied to the tree by absorbing single-qubit gates into leaf nodes, and splitting two-qubit gates via singular value decomposition and threading the resulting virtual bond through the tree. We theoretically analyze the applicability of the method as well as its computational cost and memory requirements, and identify advantageous scenarios in terms of required bond dimensions as compared to a matrix product state representation. The study is complemented by numerical experiments for different quantum circuit layouts up to 37 qubits."
10.1103/physreva.96.062322,5,A,Tree tensor network approach to simulating Shor's algorithm,2017,Eugene Dumitrescu,Physical Review A,10.1103/physreva.96.062322,"Constructively simulating quantum systems furthers our understanding of qualitative and quantitative features which may be analytically intractable. In this paper, we directly simulate and explore the entanglement structure present in the paradigmatic example for exponential quantum speedups: Shor's algorithm. To perform our simulation, we construct a dynamic tree tensor network which manifestly captures two salient circuit features for modular exponentiation. These are the natural two-register bipartition and the invariance of entanglement with respect to permutations of the top-register qubits. Our construction help identify the entanglement entropy properties, which we summarize by a scaling relation. Further, the tree network is efficiently projected onto a matrix product state from which we efficiently execute the quantum Fourier transform. Future simulation of quantum information states with tensor networks exploiting circuit symmetries is discussed."
10.1021/acs.jctc.9b00071,5,A,Three-Legged Tree Tensor Networks with SU(2) and Molecular Point Group Symmetry,2019,Klaas Gunst; Frank Verstraete; Dimitri Van Neck,Journal of Chemical Theory and Computation,10.1021/acs.jctc.9b00071,"We extend the three-legged tree tensor network state (T3NS) [ J. Chem. Theory Comput. 2018, 14, 2026−2033] by including spin and the real abelian point group symmetries. T3NS intersperses physical tensors with branching tensors. Physical tensors have one physical index and at most two virtual indices. Branching tensors have up to three virtual indices and no physical index. In this way, T3NS combines the low computational cost of matrix product states and their simplicity for implementing symmetries, with the better entanglement representation of tree tensor networks. By including spin and point group symmetries, more accurate calculations can be obtained with lower computational effort. We illustrate this by presenting calculations on the bis(μ-oxo) and μ–η 2:η 2 peroxo isomers of [Cu 2 O 2 ] 2+ . The used implementation is available on github ."
10.1098/rspa.2023.0218,5,A,Tensor networks for quantum machine learning,2023,Hans-Martin Rieser; Frank Köster; Arne Raulf,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rspa.2023.0218,"Once developed for quantum theory, tensor networks (TNs) have been established as a successful machine learning (ML) paradigm. Now, they have been ported back to the quantum realm in the emerging field of quantum ML to assess problems that classical computers are unable to solve efficiently. Their nature at the interface between physics and ML makes TNs easily deployable on quantum computers. In this review article, we shed light on one of the major architectures considered to be predestined for variational quantum ML. In particular, we discuss how layouts like matrix product state, projected entangled pair states, tree tensor networks and multi-scale entanglement renormalization ansatz can be mapped to a quantum computer, how they can be used for ML and data encoding and which implementation techniques improve their performance."
10.1103/prxquantum.4.030333,5,A,Measurement-Induced Phase Transitions on Dynamical Quantum Trees,2023,Xiaozhou Feng; Brian Skinner; Adam Nahum,PRX Quantum,10.1103/prxquantum.4.030333,"Monitored many-body systems fall broadly into two dynamical phases, ""entangling"" or ""disentangling,"" separated by a transition as a function of the rate at which measurements are made on the system.Producing an analytical theory of this measurement-induced transition is an outstanding challenge.Recent work made progress in the context of tree tensor networks, which can be related to all-to-all quantum circuit dynamics with forced (postselected) measurement outcomes.So far, however, there are no exact solutions for dynamics of spin-1/2 degrees of freedom (qubits) with ""real"" measurements, whose outcome probabilities are sampled according to the Born rule.Here we define dynamical processes for qubits, with real measurements, that have a treelike space-time interaction graph, either collapsing or expanding the system as a function of time.The former case yields an exactly solvable measurement transition.We explore these processes analytically and numerically, exploiting the recursive structure of the tree.We compare the case of ""real"" measurements with the case of ""forced"" measurements.Both cases show a transition at a nontrivial value of the measurement strength, with the real measur"
10.48550/arxiv.2206.01000,5,A,Simulating quantum circuits using tree tensor networks,2022,Philipp Seitz; Ismael Medina; Esther Cruz; Qunsheng Huang; Christian B. Mendl,arXiv (Cornell University),10.48550/arxiv.2206.01000,"We develop and analyze a method for simulating quantum circuits on classical computers by representing quantum states as rooted tree tensor networks. Our algorithm first determines a suitable, fixed tree structure adapted to the expected entanglement generated by the quantum circuit. The gates are sequentially applied to the tree by absorbing single-qubit gates into leaf nodes, and splitting two-qubit gates via singular value decomposition and threading the resulting virtual bond through the tree. We theoretically analyze the applicability of the method as well as its computational cost and memory requirements, and identify advantageous scenarios in terms of required bond dimensions as compared to a matrix product state representation. The study is complemented by numerical experiments for different quantum circuit layouts up to 37 qubits."
10.1002/2015wr016967,5,A,A review of surrogate models and their application to groundwater modeling,2015,M. J. C. Asher; Barry Croke; Anthony J. Jakeman; Luk Peeters,Water Resources Research,10.1002/2015wr016967,"Abstract The spatially and temporally variable parameters and inputs to complex groundwater models typically result in long runtimes which hinder comprehensive calibration, sensitivity, and uncertainty analysis. Surrogate modeling aims to provide a simpler, and hence faster, model which emulates the specified output of a more complex model in function of its inputs and parameters. In this review paper, we summarize surrogate modeling techniques in three categories: data‐driven, projection, and hierarchical‐based approaches. Data‐driven surrogates approximate a groundwater model through an empirical model that captures the input‐output mapping of the original model. Projection‐based models reduce the dimensionality of the parameter space by projecting the governing equations onto a basis of orthonormal vectors. In hierarchical or multifidelity methods the surrogate is created by simplifying the representation of the physical system, such as by ignoring certain processes, or reducing the numerical resolution. In discussing the application to groundwater modeling of these methods, we note several imbalances in the existing literature: a large body of work on data‐driven approaches see"
10.48550/arxiv.1707.08308,5,A,Tensor Regression Networks,2017,"Jean Kossaifi; Zachary C. Lipton; Kolbeinsson, Arinbjorn; Aran Khanna; Tommaso Furlanello; Anima Anandkumar",arXiv (Cornell University),10.48550/arxiv.1707.08308,"Convolutional neural networks typically consist of many convolutional layers followed by one or more fully connected layers. While convolutional layers map between high-order activation tensors, the fully connected layers operate on flattened activation vectors. Despite empirical success, this approach has notable drawbacks. Flattening followed by fully connected layers discards multilinear structure in the activations and requires many parameters. We address these problems by incorporating tensor algebraic operations that preserve multilinear structure at every layer. First, we introduce Tensor Contraction Layers (TCLs) that reduce the dimensionality of their input while preserving their multilinear structure using tensor contraction. Next, we introduce Tensor Regression Layers (TRLs), which express outputs through a low-rank multilinear mapping from a high-order activation tensor to an output tensor of arbitrary order. We learn the contraction and regression factors end-to-end, and produce accurate nets with fewer parameters. Additionally, our layers regularize networks by imposing low-rank constraints on the activations (TCL) and regression weights (TRL). Experiments on ImageNet"
10.1103/physrevx.9.031041,5,A,Differentiable Programming Tensor Networks,2019,Haijun Liao; Jin-Guo Liu; Lei Wang; Tao Xiang,Physical Review X,10.1103/physrevx.9.031041,"Differentiable programming is a fresh programming paradigm which composes parameterized algorithmic components and optimizes them using gradient search.The concept emerges from deep learning but is not limited to training neural networks.We present the theory and practice of programming tensor network algorithms in a fully differentiable way.By formulating the tensor network algorithm as a computation graph, one can compute higher-order derivatives of the program accurately and efficiently using automatic differentiation.We present essential techniques to differentiate through the tensor networks contraction algorithms, including numerical stable differentiation for tensor decompositions and efficient backpropagation through fixed-point iterations.As a demonstration, we compute the specific heat of the Ising model directly by taking the second-order derivative of the free energy obtained in the tensor renormalization group calculation.Next, we perform gradient-based variational optimization of infinite projected entangled pair states for the quantum antiferromagnetic Heisenberg model and obtain state-ofthe-art variational energy and magnetization with moderate efforts.Differentiabl"
10.1103/ycty-d5f9,5,A,Tree tensor network impurity solver based on Cayley-tree mapping,2026,Bo Zhan; Chen Jia-lin; Zhen Fan; Tao Xiang,Physical review. B./Physical review. B,10.1103/ycty-d5f9,"We introduce a tree tensor network (TTN) impurity solver that enables highly efficient and accurate real-time simulations of quantum impurity models. By decomposing a noninteracting bath Hamiltonian into a Cayley tree, the method provides a tensor network representation that naturally captures the multiscale entanglement structure intrinsic to impurity-bath systems. This geometry differs from conventional chain-based mappings and yields a substantial reduction of entanglement, allowing accurate ground-state properties and long-time dynamics to be captured at significantly lower bond dimensions. Benchmark calculations for the single-impurity Anderson model demonstrate that the TTN solver achieves markedly enhanced resolution of real-frequency spectral functions, without invoking analytic continuation. This impurity solver provides a balanced, scale-uniform description of impurity physics and offers a versatile approach for real-time dynamical mean-field theory and related applications involving quantum impurity models."
10.3389/fcomp.2026.1879630,5,A,Quantum generative AI foundation models: integrating VQAs with fault-tolerant error correction,2026,Radhakrishnan Delhibabu,Frontiers in Computer Science,10.3389/fcomp.2026.1879630,"Introduction The exponential parameter scaling of classical transformer models confronts severe physical and economic barriers. To sustain generative AI capabilities, alternative computational paradigms must be explored. Methods This paper projects the architecture and scaling laws of Quantum Generative AI Foundation Models by integrating Variational Quantum Algorithms (VQAs) with Fault-Tolerant Quantum Error Correction (QEC). We propose a hybrid quantum-classical framework utilizing isometric Tree Tensor Networks (TTNs) and a novel Quantum Self-Attention (QSA) subroutine, capable of compressing the latent space of a classical 10 11 -parameter Large Language Model (LLM) into a 10 6 parameter quantum neural network via amplitude encoding. Result To circumvent Noise-Induced Barren Plateaus (NIBP), we map the training requirements onto a fault-tolerant regime. Assuming a surface code QEC overhead with a physical-to-logical qubit ratio of approximately 2,000:1, we establish the resource requirements for a VQA operating below the 10 −4 physical gate error threshold. Our numerical projections indicate an approximate 45% reduction in total energy expenditure for frontier model training an"
10.1038/s41598-023-46064-5,5,B,Assessment of the ground vibration during blasting in mining projects using different computational approaches,2023,Shahab Hosseini; Jitendra Khatti; Blessing Olamide Taiwo; Yewuhalashet Fissha; Kamaldeep Singh Grover; Hajime Ikeda,Scientific Reports,10.1038/s41598-023-46064-5,"The investigation compares the conventional, advanced machine, deep, and hybrid learning models to introduce an optimum computational model to assess the ground vibrations during blasting in mining projects. The long short-term memory (LSTM), artificial neural network (ANN), least square support vector machine (LSSVM), ensemble tree (ET), decision tree (DT), Gaussian process regression (GPR), support vector machine (SVM), and multilinear regression (MLR) models are employed using 162 data points. For the first time, the blackhole-optimized LSTM model has been used to predict the ground vibrations during blasting. Fifteen performance metrics have been implemented to measure the prediction capabilities of computational models. The study concludes that the blackhole optimized-LSTM model PPV11 is highly capable of predicting ground vibration. Model PPV11 has assessed ground vibrations with RMSE = 0.0181 mm/s, MAE = 0.0067 mm/s, R = 0.9951, a20 = 96.88, IOA = 0.9719, IOS = 0.0356 in testing. Furthermore, this study reveals that the prediction accuracy of hybrid models is less affected by multicollinearity because of the optimization algorithm. The external cross-validation and literatur"
10.1090/s0002-9947-1995-1316845-2,5,C,"Sharp inequalities, the functional determinant, and the complementary series",1995,Thomas Branson,Transactions of the American Mathematical Society,10.1090/s0002-9947-1995-1316845-2,"Results in the spectral theory of differential operators, and recent results on conformally covariant differential operators and on sharp inequalities, are combined in a study of functional determinants of natural differential operators. The setting is that of compact Riemannian manifolds. We concentrate especially on the conformally flat case, and obtain formulas in dimensions 2 2 , 4 4 , and 6 6 for the functional determinants of operators which are well behaved under conformal change of metric. The two-dimensional formulas are due to Polyakov, and the four-dimensional formulas to Branson and Ørsted; the method is sufficiently streamlined here that we are able to present the sixdimensional case for the first time. In particular, we solve the extremal problems for the functional determinants of the conformal Laplacian and of the square of the Dirac operator on S 2 {S^2} , and in the standard conformal classes on S 4 {S^4} and S 6 {S^6} . The S 2 {S^2} results are due to Onofri, and the S 4 {S^4} results to Branson, Chang, and Yang; the S 6 {S^6} results are presented for the first time here. Recent results of Graham, Jenne, Mason, and Sparling on conformally covariant differential"
10.1016/j.aim.2022.108567,5,C,"Integrability of orthogonal projections, and applications to Furstenberg sets",2022,"Dąbrowski, Damian; Orponen, Tuomas; Villa, Michele",Advances in Mathematics,10.1016/j.aim.2022.108567,"Let \(d\in\mathbb{Z}_{\ge 1}\) and \(s\in[0,d]\). A probability measure \(\mu\) on \(\mathbb{R}^d\) is \(s\)-Frostman if the \(\mu\)-measure of any ball of radius \(r\) is bounded by \(Cr^s\) for some constant \(C\). If \(V\) is a subspace of \(\mathbb{R}^d\), \(\pi_V\) denotes the orthogonal projection \(\mathbb{R}^d\to V\). If \(\mu\) is \(s\)-Frostman for some \(s>n\), then it is well known since the works of Marstrand, Kaufman and Mattila that \(\pi_V(\mu)\) is absolutely continuous (with respect to the Lebesgue measure) for almost all choices of an \(n\)-dimensional subspace \(V\). The first main result of the paper is a quantitative refinement of this fact. It is proved that the function \(V\to\|\pi_V(\mu)\|_p\) has finite \(L^p\) norm on the Grassmannian of \(n\) dimensional subspaces provided \(1\le p<(2d-n-s)/(d-s)\). This range is sharp if \(d\ge 2\), \(0<n<d\) and \(d-1\le s\le d\), while the problem of determining the optimal range in other cases remains open. This result is closely related to \(L^p\to L^{p,\alpha}\) estimates for the \(n\)-plane transform, which has a substantial literature. The paper [\textit{R. S. Strichartz}, Duke Math. J. 48, No 4, 699--727 (1981; "
10.1090/s0002-9947-2012-05403-1,5,D,Lower bounds for norms of products of polynomials via Bombieri inequality,2012,Damián Pinasco,Transactions of the American Mathematical Society,10.1090/s0002-9947-2012-05403-1,"In this paper we give a different interpretation of Bombieri’s norm. This new point of view allows us to work on a problem posed by Beauzamy about the behavior of the sequence $S_n(P)=\sup _{Q_n} [PQ_n]_2$, where $P$ is a fixed $m-$homogeneous polynomial and $Q_n$ runs over the unit ball of the Hilbert space of $n-$homogeneous polynomials. We also study the factor problem for homogeneous polynomials defined on $\mathbb {C}^N$ and we obtain sharp inequalities whenever the number of factors is no greater than $N$. In particular, we prove that for the product of homogeneous polynomials on infinite dimensional complex Hilbert spaces our inequality is sharp. Finally, we use these ideas to prove that any set $\{z_k\}_{k=1}^n$ of unit vectors in a complex Hilbert space for which $\sup _{\Vert z \Vert =1} \vert \langle z, z_1\rangle \cdots \langle z, z_n\rangle \vert$ is minimum must be an orthonormal system."
10.1088/1751-8113/42/50/504004,5,F;M,Renormalization and tensor product states in spin chains and lattices,2009,J Ignacio Cirac; Frank Verstraete,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/42/50/504004,"We review different descriptions of many-body quantum systems in terms of tensor product states. We introduce several families of such states in terms of the known renormalization procedures, and show that they naturally arise in that context. We concentrate on matrix product states, tree tensor states, multiscale entanglement renormalization ansatz and projected entangled pair states. We highlight some of their properties, and show how they can be used to describe a variety of systems."
10.4310/jdg/1253804349,5,G,General $L_p$ affine isoperimetric inequalities,2009,Christoph Haberl; Franz E. Schuster,Journal of Differential Geometry,10.4310/jdg/1253804349,Sharp $L_p$ affine isoperimetric inequalities are established for the entire class of $L_p$ projection bodies and the entire class of $L_p$ centroid bodies. These new inequalities strengthen the $L_p$ Petty projection and the $L_p$ Busemann–Petty centroid inequality.
10.2140/pjm.1970.33.1,5,G,On some extremal simplexes,1970,M. Masoom Ali,Pacific Journal of Mathematics,10.2140/pjm.1970.33.1,"Let A be a fixed point in ^-dimensional Euclidean space.Let B lf B 2 , '"" f B n+ί be the vertices of a simplex S n of ndimensions, that is, the n + 1 vertices do not lie on a (n -1) dimensional subspace.Let d if assumed to be positive, be the distance of Bι from A, and let Uj be the cosine of the angle between the straight lines ABi and ABj for i, j = 1, 2, •••, n + 1.Let πi denote the (n -1 -dimensional hyperplane passing through all the vertices of S n except B if let pi, assumed positive, be the perpendicular distance of πι from A, and let ma denote the cosine of the angle between the normals from A to TΓi and π 3 -for i, j =1,2, , n + 1.The present paper deals with the following problems.(a) An expression for the content of S n , C(S n ) say, in terms of di and Uj for i, j =1,2, --,n + 1 is first obtained.Then leaving d l9 d 2 , -"" 9 d n +i fixed, values of l iJ9 say l* 3 , are determined in such a manner that C(S n ) is a maximum, and the maximum value of C(S n ) is obtained for the two cases that arise: (i) when A is inside S n , (ϋ) when A is outside S n .The latter case does not arise when d x = d 2 -= d n +u (b) An expression for C(S n ) is obtained in terms of pi and m>ij"
10.1090/s0894-0347-02-00398-3,5,I,The method of alternating projections and the method of subspace corrections in Hilbert space,2002,Jinchao Xu; Ludmil Zikatanov,Journal of the American Mathematical Society,10.1090/s0894-0347-02-00398-3,A new identity is given in this paper for estimating the norm of the product of nonexpansive operators in Hilbert space. This identity can be applied for the design and analysis of the method of alternating projections and the method of subspace corrections. The method of alternating projections is an iterative algorithm for determining the best approximation to any given point in a Hilbert space from the intersection of a finite number of subspaces by alternatively computing the best approximations from the individual subspaces which make up the intersection. The method of subspace corrections is an iterative algorithm for finding the solution of a linear equation in a Hilbert space by approximately solving equations restricted on a number of closed subspaces which make up the entire space. The new identity given in the paper provides a sharpest possible estimate for the rate of convergence of these algorithms. It is also proved in the paper that the method of alternating projections is essentially equivalent to the method of subspace corrections. Some simple examples of multigrid and domain decomposition methods are given to illustrate the application of the new identity.
10.1090/s1061-0022-2012-01202-1,5,I,The rate of convergence in the method of alternating projections,2012,Cătălin Badea; Sophie Grivaux; Veronika Müller,St Petersburg Mathematical Journal,10.1090/s1061-0022-2012-01202-1,"The cosine of the Friedrichs angle between two subspaces is generalized to a parameter associated with several closed subspaces of a Hilbert space. This parameter is employed to analyze the rate of convergence in the von Neumann–Halperin method of cyclic alternating projections. General dichotomy theorems are proved, in the Hilbert or Banach space situation, providing conditions under which the alternative QUC/ASC (quick uniform convergence versus arbitrarily slow convergence) holds. Several meanings for ASC are proposed."
admmforconvexquadraticprogramslinearconvergenceandinfeasibilitydetection,5,I,ADMM for Convex Quadratic Programs: Linear Convergence and Infeasibility Detection,2015,Arvind U. Raghunathan; Stefano Di Cairano,arXiv (Cornell University),,"In this paper, we analyze the convergence of Alternating Direction Method of Multipliers (ADMM) on convex quadratic programs (QPs) with linear equality and bound constraints. The ADMM formulation alternates between an equality constrained QP and a projection on the bounds. Under the assumptions of: (i) positive definiteness of the Hessian of the objective projected on the null space of equality constraints (reduced Hessian), and (ii) linear independence constraint qualification holding at the optimal solution we derive an upper bound on the rate of convergence to the solution at each iteration. In particular, we provide an explicit characterization of the rate of convergence in terms of: (a) the eigenvalues of the reduced Hessian, (b) the cosine of the Friedrichs angle between the subspace spanned by equality constraints and the subspace spanned by the gradients of the components that are active at the solution and (c) the distance of the inactive components of solution from the bounds. Using this analysis we show that if the QP is feasible, the iterates converge at a Q-linear rate and prescribe an optimal setting for the ADMM step-size parameter. For infeasible QPs, we show that t"
10.48550/arxiv.1411.7288,5,I,ADMM for Convex Quadratic Programs: Q-Linear Convergence and Infeasibility Detection,2014,Arvind U. Raghunathan; Stefano Di Cairano,arXiv (Cornell University),10.48550/arxiv.1411.7288,"In this paper, we analyze the convergence of Alternating Direction Method of Multipliers (ADMM) on convex quadratic programs (QPs) with linear equality and bound constraints. The ADMM formulation alternates between an equality constrained QP and a projection on the bounds. Under the assumptions of (i) positive definiteness of the Hessian of the objective projected on the null space of equality constraints (reduced Hessian), and (ii) linear independence constraint qualification holding at the optimal solution, we derive an upper bound on the rate of convergence to the solution at each iteration. In particular, we provide an explicit characterization of the rate of convergence in terms of: (a) the eigenvalues of the reduced Hessian, (b) the cosine of the Friedrichs angle between the subspace spanned by equality constraints and the subspace spanned by the gradients of the components that are active at the solution and (c) the distance of the inactive components of solution from the bounds. Using this analysis we show that if the QP is feasible, the iterates converge at a Q-linear rate and prescribe an optimal setting for the ADMM step-size parameter. For infeasible QPs, we show that t"
10.1145/301250.301349,5,K,The quantum query complexity of approximating the median and related statistics,1999,Ashwin Nayak; Felix Wu,,10.1145/301250.301349,"Let X = (z,, , z,-,) be a sequence of n numbers.For 6 > 0, we say that 5; is an e-approximate median if the number of elements strictly less than zi and the number of elements strictly greater than zi are each less than (1 + 6):.We consider the quantum query complexity of computing an c-approximate median, given the sequence X as an oracle.We prove a lower bound of n(min{t,n}) queries for any quantum algorithm that computes an r-approximate median with any constant probability greater than l/2.We also show how an c-approximate median may be computed with 0( $ log(t) log log( $)) oracle queries, which rep resents an improvement over an earlier algorithm due to Grover [ll, 121.Thus, the lower bound we obtain is essentially optimal.The upper and the lower bound both hold in the comparison tree model as well.Our lower bound result is an application of the polynomial paradigm recently introduced to quantum complexity theory by Be& et ol.[l].The main ingredient in the proof is a polynomial degree lower bound far real multilinear polynomials that ""approximate"" symmetric partial boolean functions.The degree bound extends a result of Patti[15] and also immediately yields lower bounds for th"
10.1002/nla.1818,5,A,A projection method to solve linear systems in tensor format,2012,Jonas Ballani; Lars Grasedyck,Numerical Linear Algebra with Applications,10.1002/nla.1818,"SUMMARY In this paper, we propose a method for the numerical solution of linear systems of equations in low rank tensor format. Such systems may arise from the discretisation of PDEs in high dimensions, but our method is not limited to this type of application. We present an iterative scheme, which is based on the projection of the residual to a low dimensional subspace. The subspace is spanned by vectors in low rank tensor format which—similarly to Krylov subspace methods—stem from the subsequent (approximate) application of the given matrix to the residual. All calculations are performed in hierarchical Tucker format, which allows for applications in high dimensions. The mode size dependency is treated by a multilevel method. We present numerical examples that include high‐dimensional convection–diffusion equations.Copyright © 2012 John Wiley & Sons, Ltd."
10.1137/120885723,5,A,Dynamical Approximation by Hierarchical Tucker and Tensor-Train Tensors,2013,Christian Lubich; Thorsten Rohwedder; Reinhold Schneider; Bart Vandereycken,SIAM Journal on Matrix Analysis and Applications,10.1137/120885723,"We extend results on the dynamical low-rank approximation for the treatment of time-dependent matrices and tensors (Koch and Lubich; see [SIAM J. Matrix Anal. Appl., 29 (2007), pp. 434--454], [SIAM J. Matrix Anal. Appl., 31 (2010), pp. 2360--2375]) to the recently proposed hierarchical Tucker (HT) tensor format (Hackbusch and Kühn; see [J. Fourier Anal. Appl., 15 (2009), pp. 706--722]) and the tensor train (TT) format (Oseledets; see [SIAM J. Sci. Comput., 33 (2011), pp. 2295--2317]), which are closely related to tensor decomposition methods used in quantum physics and chemistry. In this dynamical approximation approach, the time derivative of the tensor to be approximated is projected onto the time-dependent tangent space of the approximation manifold along the solution trajectory. This approach can be used to approximate the solutions to tensor differential equations in the HT or TT format and to compute updates in optimization algorithms within these reduced tensor formats. By deriving and analyzing the tangent space projector for the manifold of HT/TT tensors of fixed rank, we obtain curvature estimates, which allow us to obtain quasi-best approximation properties for the dynam"
10.1080/01630569408816580,5,I,The rate of convergence of dykstra's cyclic projections algorithm: The polyhedral case,1994,Frank Deutsch; Hein Hundal,Numerical Functional Analysis and Optimization,10.1080/01630569408816580,"Suppose K is the intersection of a finite number of closed half-spaces in a Hilbert space X. Starting with any point xεX, it is shown that the sequence of iterates {x n } generated by Dykstra's cyclic projections algorithm satisfies the inequality for all n, where P K (x) is the nearest point in K to x;, ρ is a constant, and 0 ≤c<1. In the case when K is the intersection of just two closed half-spaces, a stronger result is established: the sequence of iterates is either finite or satisfies for all n, where c is the cosine of the angle between the two functionals which define the half-spaces. Moreover, the constant c is the best possible. Applications are made to isotone and convex regression, and linear and quadratic programming."
10.1103/physreva.74.022320,5,A;M,Classical simulation of quantum many-body systems with a tree tensor network,2006,Yaoyun Shi; Luming Duan; Guifré Vidal,Physical Review A,10.1103/physreva.74.022320,"We show how to efficiently simulate a quantum many-body system with tree structure when its entanglement (Schmidt number) is small for any bipartite split along an edge of the tree. As an application, we show that any one-way quantum computation on a tree graph can be efficiently simulated with a classical computer."
renormalizationandtensorproductstatesinspinchainsandlattices,5,M,Renormalization and tensor product states in spin chains and lattices,2009,"J. I. Cirac; Verstraete, F.",MPG.PuRe (Max Planck Society),,"We review different descriptions of many-body quantum systems in terms of tensor product states. We introduce several families of such states in terms of the known renormalization procedures, and show that they naturally arise in that context. We concentrate on matrix product states, tree tensor states, multiscale entanglement renormalization ansatz and projected entangled pair states. We highlight some of their properties, and show how they can be used to describe a variety of systems."
10.1103/physrevlett.103.070504,5,K,A Strong Converse for Classical Channel Coding Using Entangled Inputs,2009,Robert König; Stephanie Wehner,Physical Review Letters,10.1103/physrevlett.103.070504,"A fully general strong converse for channel coding states that when the rate of sending classical information exceeds the capacity of a quantum channel, the probability of correctly decoding goes to zero exponentially in the number of channel uses, even when we allow code states which are entangled across several uses of the channel. Such a statement was previously only known for classical channels and the quantum identity channel. By relating the problem to the additivity of minimum output entropies, we show that a strong converse holds for a large class of channels, including all unital qubit channels, the d-dimensional depolarizing channel and the Werner-Holevo channel. This further justifies the interpretation of the classical capacity as a sharp threshold for information transmission."
10.1137/15m1026791,5,A,Discretized Dynamical Low-Rank Approximation in the Presence of Small Singular Values,2016,Emil Kieri; Christian Lubich; Hanna Walach,SIAM Journal on Numerical Analysis,10.1137/15m1026791,"Low-rank approximations to large time-dependent matrices and tensors are the subject of this paper. These matrices and tensors either are given explicitly or are the unknown solutions of matrix and tensor differential equations. Based on splitting the orthogonal projection onto the tangent space of the low-rank manifold, novel time integrators for obtaining approximations by low-rank matrices and low-rank tensor trains were recently proposed. By standard theory, the Lie--Trotter and Strang projector-splitting methods are first and second order accurate, respectively, but the usual error bounds break down when the low-rank approximation has small singular values. This happens when the singular values of the solution decay without a distinct gap or when the effective rank of the solution is overestimated. On the other hand, the integrators are exact when given time-dependent matrices or tensors are already of the prescribed rank. We provide an error analysis which unifies these properties. We show that in cases where the exact solution is an $\varepsilon$-perturbation of a low-rank matrix or tensor train, the error of the projector-splitting integrator is favorably bounded in terms o"
10.1137/24m1714502,5,A,A Parallel Basis Update and Galerkin Integrator for Tree Tensor Networks,2026,Gianluca Ceruti; Jonas Kusch; Christian Lubich; Dominik Sulz,SIAM Journal on Scientific Computing,10.1137/24m1714502,"Abstract. Computing the numerical solution to high-dimensional tensor differential equations can lead to prohibitive computational costs and memory requirements. To reduce the memory and computational footprint, dynamical low-rank approximation (DLRA) has proven to be a promising approach. DLRA represents the solution as a low-rank tensor factorization and evolves the resulting low-rank factors in time. A central challenge in DLRA is to find time integration schemes that are robust to the arising small singular values. A robust parallel basis update and Galerkin integrator, which simultaneously evolves all low-rank factors, has recently been derived for matrix differential equations. This work extends the parallel low-rank matrix integrator to Tucker tensors and general tree tensor networks, yielding an algorithm in which all bases and connecting tensors are evolved in parallel over a time step. We formulate the algorithm, provide a robust error bound, and demonstrate the efficiency of the new integrators for problems in quantum many-body physics, uncertainty quantification, and radiative transfer. Reproducibility of computational results. This paper has been awarded the “SIAM Repr"
