citation_key,key,doi,arxiv,openalex,title,year,authors,venue,families,origin,level_reached,threat_final,threat_L1,threat_L2,access,theorem_location,claims,verdict,cite_in_paper,bib_class,evidence_file,adjudication_note
,10.1007/s10208-012-9136-6,10.1007/s10208-012-9136-6,,https://openalex.org/W2088739747,On Minimal Subspaces in Tensor Representations,2012,Antonio Falcó; Wolfgang Hackbusch,Foundations of Computational Mathematics,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/s0036144593251710,10.1137/s0036144593251710,,https://openalex.org/W2033511209,On Projection Algorithms for Solving Convex Feasibility Problems,1996,Heinz H. Bauschke; Jonathan M. Borwein,SIAM Review,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,onaveragedfirmlynonexpansiveandquasinonexpansiveoperatorsandmoreofthat,,,https://openalex.org/W2597219541,"On averaged, firmly nonexpansive and quasi-nonexpansive operators, and more of that",2007,G. Crombez,Ghent University Academic Bibliography (Ghent University),O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,onhyperbolicsurfacetessellationsandequivariantspacelikeconvexpolyhedralsurfacesinminkowskispace,,,https://openalex.org/W2780294057,On hyperbolic surface tessellations and equivariant spacelike convex polyhedral surfaces in Minkowski Space,2000,Igor Iskhakov,OhioLink ETD Center (Ohio Library and Information Network),O5,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1016/j.laa.2015.12.016,10.1016/j.laa.2015.12.016,,https://openalex.org/W1767074320,On low-rank approximability of solutions to high-dimensional operator equations and eigenvalue problems,2016,Daniel Kreßner; André Uschmajew,Linear Algebra and its Applications,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s00211-011-0419-7,10.1007/s00211-011-0419-7,,https://openalex.org/W2036133196,On manifolds of tensors of fixed TT-rank,2011,Sebastian Holtz; Thorsten Rohwedder; Reinhold Schneider,Numerische Mathematik,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.3934/math.20231135,10.3934/math.20231135,,https://openalex.org/W4384383094,On simultaneous characterizations of partner-ruled surfaces in Minkowski 3-space,2023,Yanlin Li; Kemal Eren; Soley Ersoy,AIMS Mathematics,O5,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/978-3-030-25939-6_15,10.1007/978-3-030-25939-6_15,,https://openalex.org/W2900403378,On the Acceleration of Forward-Backward Splitting via an Inexact Newton Method,2019,Andreas Themelis; Masoud Ahookhosh; Panagiotis Patrinos,,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.1506.00062,10.48550/arxiv.1506.00062,,https://openalex.org/W2191558661,On the Convergence of Alternating Least Squares Optimisation in Tensor Format Representations,2015,Mike Espig; Wolfgang Hackbusch; Aram Khachatryan,RWTH Publications (RWTH Aachen),O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,onthedesignandanalysisofoperatorsplittingschemes,,,https://openalex.org/W1146984394,On the Design and Analysis of Operator-Splitting Schemes,2015,Damek Davis,eScholarship (California Digital Library),O4,harvest,L1,1,1,,,,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/bf01581204,10.1007/bf01581204,,https://openalex.org/W2058532290,On the Douglas—Rachford splitting method and the proximal point algorithm for maximal monotone operators,1992,Jonathan Eckstein; Dimitri P. Bertsekas,Mathematical Programming,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.48550/arxiv.1509.05009,10.48550/arxiv.1509.05009,,https://openalex.org/W1852909287,On the Expressive Power of Deep Learning: A Tensor Analysis,2015,Nadav Cohen; Or Sharir; Amnon Shashua,arXiv (Cornell University),O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1007/s10543-013-0444-2,10.1007/s10543-013-0444-2,,https://openalex.org/W2002633056,On the approximation of high-dimensional differential equations in the hierarchical Tucker format,2013,A. Arnold; Tobias Jahnke,BIT Numerical Mathematics,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s10107-018-1321-1,10.1007/s10107-018-1321-1,,https://openalex.org/W2886903283,On the equivalence of the primal-dual hybrid gradient method and Douglas–Rachford splitting,2018,Daniel O’Connor; Lieven Vandenberghe,Mathematical Programming,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.5555/2230976.2230988,10.5555/2230976.2230988,,https://openalex.org/W2141253737,On the geometry of tensor network states,2012,Joseph M. Landsburg; Qi Yang; Ke Ye,Quantum Information and Computation,O1,snowball,L1,1,1,,,,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.2505.22363,10.48550/arxiv.2505.22363,,https://openalex.org/W4416048257,Operator-Splitting Methods for Neuromorphic Circuit Simulation,2025,Amir Shahhosseini; Thomas Chaffey; Rodolphe Sepulchre,arXiv (Cornell University),O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1016/j.physleta.2024.129642,10.1016/j.physleta.2024.129642,,https://openalex.org/W4399422908,Optimal qubit mapping search for encoding classical data into matrix product state representation with minimal loss,2024,Hyeongjun Jeon; Kyungmin Lee; Dongkyu Lee; Bongsang Kim; Taehyun Kim,Physics Letters A,O6,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s11075-018-0608-x,10.1007/s11075-018-0608-x,,https://openalex.org/W2769692372,Optimal rates of linear convergence of the averaged alternating modified reflections method for two subspaces,2018,Francisco J. Aragón Artacho; Rubén Campoy,Numerical Algorithms,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1016/j.laa.2015.04.015,10.1016/j.laa.2015.04.015,,https://openalex.org/W301566927,Optimization on the Hierarchical Tucker manifold – Applications to tensor completion,2015,Curt Da Silva; Felix J. Herrmann,Linear Algebra and its Applications,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s00791-012-0183-y,10.1007/s00791-012-0183-y,,https://openalex.org/W2048459485,Optimization problems in contracted tensor networks,2011,Mike Espig; Wolfgang Hackbusch; Stefan Handschuh; Reinhold Schneider,Computing and Visualization in Science,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1109/tit.2006.876220,10.1109/tit.2006.876220,,https://openalex.org/W2097695636,Optimum power allocation for parallel Gaussian channels with arbitrary input distributions,2006,Angel Lozano; Antonia M. Tulino; Sergio Verdú,IEEE Transactions on Information Theory,O5,snowball,L1,1,1,,,,H3,[abs] Mercury water-filling; background,no,,,
,10.23919/acc50511.2021.9482940,10.23919/acc50511.2021.9482940,,https://openalex.org/W3186581370,Outer Approximations of Minkowski Operations on Complex Sets via Sum-of-Squares Optimization,2021,James Guthrie; Enrique Mallada,,O5,snowball,L1,1,1,,,,H1,[abs] SOS outer approximations of Minkowski operations; background,no,,,
,10.1021/acs.jctc.4c00903,10.1021/acs.jctc.4c00903,,https://openalex.org/W4402622228,Parallel Implementation of the Density Matrix Renormalization Group Method Achieving a Quarter petaFLOPS Performance on a Single DGX-H100 GPU Node,2024,Andor Menczer; Maarten Van Damme; Alan E. Rask; Lee Huntington; Jeff R. Hammond; Sotiris S. Xantheas,Journal of Chemical Theory and Computation,O3,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1016/j.jcp.2018.08.057,10.1016/j.jcp.2018.08.057,,https://openalex.org/W2794506364,Parallel tensor methods for high-dimensional linear PDEs,2018,Arnout Boelens; Daniele Venturi; Daniel M. Tartakovsky,Journal of Computational Physics,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1088/2058-9565/ab4eb5,10.1088/2058-9565/ab4eb5,,https://openalex.org/W2980446414,Parameterized quantum circuits as machine learning models,2019,Marcello Benedetti; Erika Lloyd; Stefan Sack; Mattia Fiorentini,Quantum Science and Technology,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.1710.05867,10.48550/arxiv.1710.05867,,https://openalex.org/W3080724058,Pareto-Efficient Quantum Circuit Simulation Using Tensor Contraction Deferral,2017,Edwin Pednault; John A. Gunnels; Giacomo Nannicini; Lior Horesh; Thomas Magerlein; Edgar Solomonik,arXiv (Cornell University),O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1080/01621459.2021.1938082,10.1080/01621459.2021.1938082,,https://openalex.org/W3127614540,Partially Observed Dynamic Tensor Response Regression,2021,Jie Zhou; Will Wei Sun; Jingfei Zhang; Lexin Li,Journal of the American Statistical Association,O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.2002.09735,10.48550/arxiv.2002.09735,,https://openalex.org/W3007948055,Partially Observed Dynamic Tensor Response Regression,2020,Jie Zhou; Will Wei Sun; Jingfei Zhang; Lexin Li,arXiv (Cornell University),O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevb.85.165146,10.1103/physrevb.85.165146,,https://openalex.org/W2090558193,Perfect sampling with unitary tensor networks,2012,Andrew J. Ferris; Guifré Vidal,Physical Review B,O3,snowball,L1,1,1,,,,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1016/j.optlaseng.2018.04.019,10.1016/j.optlaseng.2018.04.019,,https://openalex.org/W2804654620,Phase shifting algorithms for fringe projection profilometry: A review,2018,Chao Zuo; Shijie Feng; Lei Huang; Tianyang Tao; Wei Yin; Qian Chen,Optics and Lasers in Engineering,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevb.88.075133,10.1103/physrevb.88.075133,,https://openalex.org/W2084995257,Post-matrix product state methods: To tangent space and beyond,2013,Jutho Haegeman; Tobias J. Osborne; Frank Verstraete,Physical Review B,O1;O4,harvest+snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.2478/cmam-2011-0020,10.2478/cmam-2011-0020,,https://openalex.org/W1967402714,Preconditioned Low-Rank Methods for High-Dimensional Elliptic PDE Eigenvalue Problems,2011,Daniel Kreßner; Christine Tobler,Computational Methods in Applied Mathematics,O1,harvest+snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/15m1018253,10.1137/15m1018253,,https://openalex.org/W2175165459,Preconditioning of a Generalized Forward-Backward Splitting and Application to Optimization on Graphs,2015,Hugo Raguet; Loïc Landrieu,SIAM Journal on Imaging Sciences,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/21m1402170,10.1137/21m1402170,,https://openalex.org/W3135196308,Pricing High-Dimensional Bermudan Options with Hierarchical Tensor Formats,2023,Christian Bayer; Martin Eigel; Leon Sallandt; Philipp Trunschke,SIAM Journal on Financial Mathematics,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1016/j.laa.2010.08.026,10.1016/j.laa.2010.08.026,,https://openalex.org/W2013263425,Product numerical range in a space with tensor product structure,2010,Zbigniew Puchała; Piotr Gawron; Jarosław Adam Miszczak; Łukasz Skowronek; Man-Duen Choi; Karol Życzkowski,Linear Algebra and its Applications,O5,snowball,L1,1,1,,,,H1,[abs] Product numerical range; background,no,,,
,10.1007/s00211-011-0437-5,10.1007/s00211-011-0437-5,,https://openalex.org/W2034801304,Proper generalized decomposition for nonlinear convex problems in tensor Banach spaces,2011,Antonio Falcó; Anthony Nouy,Numerische Mathematik,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/s0363012903427336,10.1137/s0363012903427336,,https://openalex.org/W2070997813,Proximal Methods for Cohypomonotone Operators,2004,Patrick L. Combettes; Teemu Pennanen,SIAM Journal on Control and Optimization,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/20m1341659,10.1137/20m1341659,,https://openalex.org/W3033183059,Quantized Tensor FEM for Multiscale Problems: Diffusion Problems in Two and Three Dimensions,2022,Vladimir Kazeev; Ivan Oseledets; Maxim Rakhuba; Christoph Schwab,Multiscale Modeling and Simulation,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.3929/ethz-a-010554062,10.3929/ethz-a-010554062,,https://openalex.org/W2269850907,Quantized tensor-structured finite elements for second-order elliptic PDEs in two dimensions,2015,Vladimir Kazeev,Repository for Publications and Research Data (ETH Zurich),O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevx.7.031016,10.1103/physrevx.7.031016,,https://openalex.org/W2512685237,Quantum Entanglement Growth under Random Unitary Dynamics,2017,Adam Nahum; Jonathan Ruhman; Sagar Vijay; Jeongwan Haah,Physical Review X,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.14711/thesis-hdl152294,10.14711/thesis-hdl152294,,https://openalex.org/W4414315172,Quantum Entanglement with Geometric Measures,2025,Xuanran Zhu,,O6,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/prxquantum.3.040313,10.1103/prxquantum.3.040313,,https://openalex.org/W4307889020,Quantum Error Mitigation via Matrix Product Operators,2022,Yuchen Guo; Shuo Yang,PRX Quantum,O3,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s11128-019-2326-2,10.1007/s11128-019-2326-2,,https://openalex.org/W2947359591,Quantum circuit design for objective function maximization in gate-model quantum computers,2019,Laszlo Gyongyosi; Sandor Imre,Quantum Information Processing,O6,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1088/2058-9565/ab79b1,10.1088/2058-9565/ab79b1,,https://openalex.org/W2934743019,Quantum circuit optimizations for NISQ architectures,2020,Beatrice Nash; Vlad Gheorghiu; Michele Mosca,Quantum Science and Technology,O6,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/jhep04(2026)183,10.1007/jhep04(2026)183,,https://openalex.org/W7156250882,Quantum dynamics of cosmological particle production: interacting quantum field theories with matrix product states,2026,Evan Budd; Adrien Florio; David Frenklakh; Swagato Mukherjee,Journal of High Energy Physics,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevc.111.034317,10.1103/physrevc.111.034317,,https://openalex.org/W4408326378,Quantum magic and multipartite entanglement in the structure of nuclei,2025,Florian Brökemeier; S. Momme Hengstenberg; J. W. T. Keeble; Caroline Robin; Federico Rocco; Martin J. Savage,Physical Review C,O3;O6,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevb.98.155134,10.1103/physrevb.98.155134,,https://openalex.org/W2810419645,"Quantum scarred eigenstates in a Rydberg atom chain: Entanglement, breakdown of thermalization, and stability to perturbations",2018,Christopher J. Turner; Alexios A. Michailidis; Dmitry A. Abanin; Maksym Serbyn; Zlatko Papić,Physical review. B./Physical review. B,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1038/s41534-024-00805-0,10.1038/s41534-024-00805-0,,https://openalex.org/W4391227260,Quantum state preparation of normal distributions using matrix product states,2024,Jason Iaconis; Sonika Johri; Elton Yechao Zhu,npj Quantum Information,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1103/revmodphys.90.035006,10.1103/revmodphys.90.035006,,https://openalex.org/W2582012066,Quantum-enhanced measurements without entanglement,2018,Daniel Braun; Gerardo Adesso; Fabio Benatti; Roberto Floreanini; Ugo Marzolino; Morgan W. Mitchell,Reviews of Modern Physics,O6,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/17m112806x,10.1137/17m112806x,,https://openalex.org/W2605652624,Quasi-Nonexpansive Iterations on the Affine Hull of Orbits: From Mann's Mean Value Algorithm to Inertial Methods,2017,Patrick L. Combettes; Lilian E. Glaudin,SIAM Journal on Optimization,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.1704.03563,10.48550/arxiv.1704.03563,,https://openalex.org/W2953366062,Quasinonexpansive Iterations on the Affine Hull of Orbits: From Mann's Mean Value Algorithm to Inertial Methods,2017,Patrick L. Combettes; Lilian E. Glaudin,arXiv (Cornell University),O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1128/microbiolspec.rwr-0008-2017,10.1128/microbiolspec.rwr-0008-2017,,https://openalex.org/W2802607766,RNase E and the High-Fidelity Orchestration of RNA Metabolism,2018,Katarzyna Bandyra; Ben F. Luisi,Microbiology Spectrum,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1146/annurev-conmatphys-031720-030658,10.1146/annurev-conmatphys-031720-030658,,https://openalex.org/W4293171638,Random Quantum Circuits,2022,Matthew P. A. Fisher; Vedika Khemani; Adam Nahum; Sagar Vijay,Annual Review of Condensed Matter Physics,O1,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1111/rssb.12228,10.1111/rssb.12228,,https://openalex.org/W2105234758,Random-projection Ensemble Classification,2017,Timothy I. Cannings; Richard J. Samworth,Journal of the Royal Statistical Society Series B (Statistical Methodology),O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.48550/arxiv.2409.09471,10.48550/arxiv.2409.09471,,https://openalex.org/W4403667412,Randomized sketched TT-GMRES for linear systems with tensor structure,2024,Alberto Bucci; Davide Palitta; Leonardo Robol,arXiv (Cornell University),O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/20m1314653,10.1137/20m1314653,,https://openalex.org/W3002052860,Rank Bounds for Approximating Gaussian Densities in the Tensor-Train Format,2022,Paul Rohrbach; Sergey Dolgov; Lars Grasedyck; Robert Scheichl,SIAM/ASA Journal on Uncertainty Quantification,O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.2001.08187,10.48550/arxiv.2001.08187,,https://openalex.org/W4287902049,Rank Bounds for Approximating Gaussian Densities in the Tensor-Train Format,2020,Paul Rohrbach; Sergey Dolgov; Lars Grasedyck; Robert Scheichl,arXiv (Cornell University),O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1063/5.0077770,10.1063/5.0077770,,https://openalex.org/W3215266057,Rank-reduced coupled-cluster. III. Tensor hypercontraction of the doubles amplitudes,2022,Edward G. Hohenstein; B. Scott Fales; Robert M. Parrish; Todd J. Martı́nez,The Journal of Chemical Physics,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/prxquantum.2.010342,10.1103/prxquantum.2.010342,,https://openalex.org/W3080410339,Real- and Imaginary-Time Evolution with Compressed Quantum Circuits,2021,Sheng-Hsuan Lin; Rohit Dilip; Andrew G. Green; Adam Smith; Frank Pollmann,PRX Quantum,O3,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevx.6.011023,10.1103/physrevx.6.011023,,https://openalex.org/W1840051885,Real-Time Dynamics in U(1) Lattice Gauge Theories with Tensor Networks,2016,T. Pichler; M. Dalmonte; E. Rico; P. Zoller; S. Montangero,Physical Review X,O1,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/physrevlett.93.076401,10.1103/physrevlett.93.076401,,https://openalex.org/W2021712328,Real-Time Evolution Using the Density Matrix Renormalization Group,2004,Steven R. White; Adrian Feiguin,Physical Review Letters,O6,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1109/sc41406.2024.00086,10.1109/sc41406.2024.00086,,https://openalex.org/W4405755835,Realizing Quantum Kernel Models at Scale with Matrix Product State Simulation,2024,Mekena Metcalf; Pablo Andrés-Martí­nez; Nathan Fitzpatrick,,O6,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1109/tvt.2013.2283505,10.1109/tvt.2013.2283505,,https://openalex.org/W2091633261,Recursive Waterfilling for Wireless Links With Energy Harvesting Transmitters,2013,Peter He; Lian Zhao; Sheng Zhou; Zhisheng Niu,IEEE Transactions on Vehicular Technology,O5,snowball,L1,1,1,,,,H3,[abs] Water-filling with cumulative caps; background,no,,,
,10.1134/s1064562409040036,10.1134/s1064562409040036,,https://openalex.org/W2039001924,Recursive decomposition of multidimensional tensors,2009,Ivan Oseledets; E. E. Tyrtyshnikov,Doklady Mathematics,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1017/cbo9780511622656,10.1017/cbo9780511622656,,https://openalex.org/W1775170449,"Renormalization An Introduction to Renormalization, the Renormalization Group and the Operator-Product Expansion",1984,John C. Collins,,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1063/1.3496901,10.1063/1.3496901,,https://openalex.org/W2015936613,Restricted numerical range: A versatile tool in the theory of quantum information,2010,Piotr Gawron; Zbigniew Puchała; Jarosław Adam Miszczak; Łukasz Skowronek; Karol Życzkowski,Journal of Mathematical Physics,O5,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.5075/epfl-thesis-6958,10.5075/epfl-thesis-6958,,https://openalex.org/W2336109516,Riemannian Optimization for Solving High-Dimensional Problems with Low-Rank Tensor Structure,2016,Michael Steinlechner,Infoscience (Ecole Polytechnique Fédérale de Lausanne),O1;O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.3182/20050703-6-cz-1902.00205,10.3182/20050703-6-cz-1902.00205,,https://openalex.org/W2052689408,SET MEMBERSHIP PARAMETER IDENTIFICATION WITH COMPLEX INTERVALS USING POLAR FORMS,2005,Nacim Ramdani; Tarek Raïssi; Yves Candau; Abderrahim Boudenne; Laurent Ibos,IFAC Proceedings Volumes,O5,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.1601.00698,10.48550/arxiv.1601.00698,,https://openalex.org/W2226102612,SMART: The Stochastic Monotone Aggregated Root-Finding Algorithm,2016,Damek Davis,arXiv (Cornell University),O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1088/1361-6420/aaa998,10.1088/1361-6420/aaa998,,https://openalex.org/W2793574154,Sampling-free Bayesian inversion with adaptive hierarchical tensor representations,2018,Martin Eigel; Manuel Marschall; Reinhold Schneider,Inverse Problems,O1;O2,harvest+snowball,L1,1,1,,,,,"[abs] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1103/rzgm-cywf,10.1103/rzgm-cywf,,https://openalex.org/W4414258735,Scalable projected entangled-pair state representation of random quantum circuit states,2025,S. Lee; S. Lee; H R Choi; Daniel Donghyon Ohm; Seung‐Sup B. Lee; Seung‐Sup B. Lee,Physical Review Research,O6,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1088/0266-5611/19/2/201,10.1088/0266-5611/19/2/201,,https://openalex.org/W2090636411,Separable nonlinear least squares: the variable projection method and its applications,2003,Gene H. Golub; Víctor Pereyra,Inverse Problems,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s12555-009-0515-y,10.1007/s12555-009-0515-y,,https://openalex.org/W2045153998,Set membership parameter estimation in the frequency domain based on complex intervals,2009,Tarek Raïssi; Nacim Ramdani; Yves Candau,International Journal of Control Automation and Systems,O5,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/978-0-387-69757-4,10.1007/978-0-387-69757-4,,https://openalex.org/W592924277,Set-Valued Mappings and Enlargements of Monotone Operators,2007,Regina S. Burachik; Alfredo N. Iusem,,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/050626090,10.1137/050626090,,https://openalex.org/W2006262045,Signal Recovery by Proximal Forward-Backward Splitting,2005,Patrick L. Combettes; Valérie R. Wajs,Multiscale Modeling and Simulation,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
